RM1,RM2,RT1,RT2,T,VM1,VM2,AM1,AM2
28.191,9989.78,39990,10000,0.01,2819.1,-1022.07,-0,391.933
56.3821,9979.6,39980,10000,0.02,2819.1,-1018.16,-0.100068,391.156
84.5731,9969.46,39970,10000,0.03,2819.1,-1014.25,-0.199547,390.38
112.764,9959.35,39960,10000,0.04,2819.1,-1010.36,-0.298439,389.605
140.955,9949.29,39950,10000,0.05,2819.09,-1006.47,-0.396747,388.83
169.146,9939.26,39940,10000,0.06,2819.09,-1002.59,-0.494473,388.057
197.337,9929.27,39930,10000,0.07,2819.08,-998.715,-0.591619,387.285
225.528,9919.33,39920,10000,0.08,2819.08,-994.85,-0.688186,386.513
253.718,9909.42,39910,10000,0.09,2819.07,-990.993,-0.784177,385.743
281.909,9899.54,39900,10000,0.1,2819.06,-987.143,-0.879594,384.973
310.099,9889.71,39890,10000,0.11,2819.05,-983.301,-0.974439,384.205
338.29,9879.92,39880,10000,0.12,2819.04,-979.467,-1.06871,383.437
366.48,9870.16,39870,10000,0.13,2819.03,-975.64,-1.16242,382.671
394.67,9860.44,39860,10000,0.14,2819.02,-971.821,-1.25556,381.905
422.86,9850.76,39850,10000,0.15,2819,-968.01,-1.34814,381.141
451.05,9841.12,39840,10000,0.16,2818.99,-964.206,-1.44016,380.377
479.24,9831.52,39830,10000,0.17,2818.97,-960.41,-1.53161,379.614
507.429,9821.95,39820,10000,0.18,2818.96,-956.621,-1.62251,378.852
535.619,9812.42,39810,10000,0.19,2818.94,-952.84,-1.71285,378.091
563.808,9802.93,39800,10000,0.2,2818.92,-949.067,-1.80264,377.332
591.997,9793.48,39790,10000,0.21,2818.9,-945.301,-1.89188,376.573
620.186,9784.06,39780,10000,0.22,2818.88,-941.543,-1.98056,375.815
648.374,9774.68,39770,10000,0.23,2818.86,-937.792,-2.0687,375.058
676.563,9765.34,39760,10000,0.24,2818.84,-934.049,-2.15629,374.302
704.751,9756.04,39750,10000,0.25,2818.82,-930.314,-2.24334,373.546
732.939,9746.77,39740,10000,0.26,2818.79,-926.586,-2.32985,372.792
761.127,9737.55,39730,10000,0.27,2818.77,-922.866,-2.41582,372.039
789.314,9728.35,39720,10000,0.28,2818.74,-919.153,-2.50125,371.287
817.501,9719.2,39710,10000,0.29,2818.72,-915.447,-2.58614,370.535
845.688,9710.08,39700,10000,0.3,2818.69,-911.75,-2.6705,369.785
873.875,9701,39690,10000,0.31,2818.66,-908.059,-2.75433,369.035
902.061,9691.96,39680,10000,0.32,2818.64,-904.376,-2.83762,368.287
930.247,9682.95,39670,10000,0.33,2818.61,-900.701,-2.92039,367.539
958.433,9673.98,39660,10000,0.34,2818.58,-897.033,-3.00263,366.792
986.618,9665.05,39650,10000,0.35,2818.55,-893.373,-3.08435,366.047
1014.8,9656.15,39640,10000,0.36,2818.51,-889.72,-3.16554,365.302
1042.99,9647.29,39630,10000,0.37,2818.48,-886.074,-3.24622,364.558
1071.17,9638.46,39620,10000,0.38,2818.45,-882.436,-3.32637,363.815
